,Title,ParentGame,ReleaseDate,Team,Rating,xListed,xReviewed,Platforms,Genres,Summary,Reviews,Plays,Playing,Backlogs,Wishlist
0,Brawlhalla,,"Apr 30, 2014","['Ubisoft', 'Blue Mammoth Games']",2.5,324,413,"['Windows PC', 'Android', 'Mac', 'PlayStation 4', 'iOS', 'Xbox One', 'Nintendo Switch']","['Arcade', 'Fighting', 'Indie', 'Platform']","An epic 2D platform fighter for up to 8 players online or local where the best of the baddest-ass warriors in history battle each other in an eternal tourney of champions for bragging rights, infinite mead, and the pure pleasure of delivering a beatdown.
              
              Try casual free-for-alls, ranked matches, or invite friends to a private room. And it's free!","['smash bros but free and mid.', 'I never into fighting games but this is a good time killer for me back then', 'i have played better fighting games on web browser', ""I'll be a massive hypocrite for giving the game such a rating since it is my most played Steam game as of right now. But seeing as half of the time I love the experience and half the time I don't, I figure this is the most fitting rating I could give it."", 'потные задницы уууеее', 'if you like this game wait until you find out about smash or like even the shitty playstation smash bros']",7400,157,315,41
1,Inscryption,,"Oct 19, 2021","['Devolver Digital', 'Daniel Mullins Games']",4.1,1100,744,"['Windows PC', 'Mac', 'Linux', 'PlayStation 4', 'Xbox One', 'PlayStation 5', 'Nintendo Switch', 'Xbox Series']","['Adventure', 'Card & Board Game', 'Indie', 'Puzzle', 'Strategy']","Inscryption is an inky black card-based odyssey that blends the deckbuilding roguelike, escape-room style puzzles, and psychological horror into a blood-laced smoothie. Darker still are the secrets inscrybed upon the cards...","[""Inscryption is a game that captivates you right from the start. From the opening moments, with the title screen that has something off about it; you can tell that this is a game that is going to be something special. It oozes style, it presents mystery and intrigue with some horror undertones and has you pondering the entire time while you're treated to excellent deck building gameplay that never gets stale. Everything is fantastic from the presentation across the whole game, to how the narrative is unveiled slowly as you build your deck up, to the cards themselves and amount of options available."", ""shelving this for now partly because tears of the kingdom is coming out tomorrow at time of writing and partly because i am just not getting enough out of this to want to continue. i know various little bits about how the game changes later on, but i have not been able to finish even the first section and i'm just sorta over it already. i also just... don't find it at all as unsettling or creepy as it thinks it is? the horror atmosphere kinda feels like it's trying a little too hard. idk, i don't really have many in depth thoughts, other than this didn't really strike any of the correct enjoyment nerves and as a result i come away from each session either annoyed or bored."", ""Considering that I think Inscryption is a game best enjoyed if you go into it knowing as little as possible, it's difficult to write a detailed review. Inscrytpion was not only a fun time, but it constantly surprised me along my entire journey with it. A real one-of-a-kind game that I enjoyed while playing, and now that it's over, I can't stop thinking about it."", '0-3 hours: yoooo i like card games this is kinda fun\n                     \n                     3-5 hours: wtf this is kinda sick what is going on\n                     \n                     5-9 hours: holy moly game play\n                     \n                     9-10 hours: the unlucky carder perhaps', 'Hayatımda ilk ve son oynadığım en iyi kart oyunu olabilir.\n                     \n                     Şunu söyleyim, oyunun kart oynamakla alakası yok.\n                     \n                     Bu oyunu oynamak için kendime 3. bir beyin oluşturmak zorunda kaldım. Güzeldi.', 'If you like card games even a little, this is a must play. Go into it as spoiler free as possible.']",6000,585,2500,2500
2,Final Fantasy VII Remake Intergrade,,"Jun 10, 2021",['Square Enix'],4.2,490,216,"['Windows PC', 'PlayStation 5']","['Adventure', 'RPG']",Final Fantasy VII Remake Intergrade is an enhanced and expanded version of Final Fantasy VII Remake that features a new episode starring Yuffie and introduces an exhilarating new story arc with numerous gameplay additions for players to enjoy.,"['Really REALLY good remake that feels more like a sequel that takes place in an alternate universe. The city of Midgar has never felt more alive.', ""Je note que le dlc du coup mais trop bien la side story sur Yuffie, on étend encore l'univers et avec plaisir"", 'WHERE IS THE NEXT PART', 'grind became too much at one point', 'largely fantastic, even better in HDR', 'No sé si decir que Nomura es un genio o un pedazo de retrasado']",2600,310,1500,850
3,Resident Evil 7: Biohazard,,"Jan 24, 2017",['Capcom'],3.9,2100,951,"['Windows PC', 'PlayStation 4', 'PlayStation VR', 'Xbox One', 'PlayStation 5', 'Google Stadia', 'Xbox Series']","['Adventure', 'Shooter']","Resident Evil 7: Biohazard is the first game of the Resident Evil series to switch from 3rd-person to fully 1st-person perspective. A complete refresh of gameplay systems simultaneously propels the survival horror experience to another level. It is as much horror as it is survival, boosting up scare elements and minimizing downright shooting action. The game allows use of Sony's PSVR Headset to play in VR mode.","['Good resident evil, I ended up liking the FPS POV, kinda drags near the end of tons of great scares, great enemies, boss fights are memorable', 'My problem with this game of that its way too short and the half hour is a slog and that ""choice"" between two characters was fucking pointless, and the game only has like 3 different enemy types that look the same. Jack was the best part of this game.', 'só não dou 5 estrelas pq acho que se perdeu um pouco na reta final mas de resto simplesmente incrível e todos que falam mal desse jogo lambam meu cu cheio de MERDAAAAA', 'mold 😁', 'nojento e meio forçado', 'Pretty good. Not sure why, but I didn’t enjoy it as much as other people did. The first person perspective didn’t feel like RE to me']",15000,380,3400,1400
4,Ratchet & Clank,,"Apr 12, 2016","['Insomniac Games', 'Sony Interactive Entertainment']",3.3,867,386,['PlayStation 4'],"['Adventure', 'Platform', 'Shooter']","Ratchet & Clank is a new game based on elements from the original Ratchet & Clank (PS2), featuring more than an hour of new cinematics (including footage from the film) in vibrant 1080p, new locations, weapons, bosses and more. Join Ratchet, Clank, Captain Qwark and new friends as they embark on an intergalactic adventure, and experience the start of an epic friendship (again) on PlayStation 4.","['one of the best PS4 games I ever played', 'Was just kinda there', ""Fun game. Certainly not perfect and despite playing on hard mode, this was very easy. Though I do intend to play crushing sometime soon.\n                     \n                     The weapon variety in this game is incredible, switching between weapon and weapon is unbelievably fun. The characters of Ratchet and Clank are cool and it's nice spending time with them and learning how they grew to be rangers.\n                     \n                     Overall, 4/5. Very fun, but a little short and not as good as Rift Apart from what I remember."", 'El primer juego que he probado de esta saga y me ha flipado, es divertido como pocos y muy agradable de jugar.', ""I've been a huge fan of Ratchet and Clank since the first game came out on PS2, so I may be a bit biased in my review.  I will say that I haven't played the first game since the PS2 days, so I have no memory on the original story beats and what could be different in this remake, but my memories of how fun the series is has always stuck with me. I also had the joy of playing this remake on a PS5 with the 60 FPS update, which is the way I would recommend playing it -- and I DO recommend playing it."", 'Fui jogar despretensiosamente e não parei até platinar. Bem divertido']",8300,138,2000,538
5,Resident Evil 6,,"Oct 02, 2012",['Capcom'],2.5,1000,502,"['Windows PC', 'Xbox 360', 'PlayStation 3']","['Adventure', 'Shooter']","Resident Evil 6 is the ninth video game installment in the Resident Evil series. It continues the struggle against zombies infected by the new highly virulent C-virus. The game uses the same over-the-shoulder view as Resident Evil 4 and Resident Evil 5, however with a new gameplay mechanic that allows players to slowly move while shoot. Players can select between three scenarios featuring multiple characters and intertwined storylines, and within these scenarios both stories and action cross paths. At key moments during the game, up to four players can join together online to tackle a specific situation, with some stages seeing the usual partnerships swapped to further increase the depth of gameplay.","['This is why you gotta kill the chasers in your life', 'Gets a bad rap. But if you value content and a fun co-op, you can do worse.', ""This was a tough one to write for me. Somehow I've played almost every single numbered game in this series and I feel like I'm missing something here. Is it because I didn't watch the movies this game is trying so hard to emulate? Most likely. But I'll try to understand this game on its own terms as best I can. It's the logical endpoint of the sales of REs 4 and 5 in the US. Obviously people wanted more co-op, more action, more explosions, more gore, more hollywood style... The cutscenes are great schlock for the most part, don't get me wrong."", 'Mediocre as Resident evil', 'Pior jogo que já joguei', 'sinceramente esse jogo e so frustante em TUDO que se propõe desde gameplay ate trilha sonora esse jogo e um descaso com tudo que a franquia ja foi um dia.\n                     \n                     mesmo jogando Co-op esse jogo fica insuportavel dps de uma hora de jogatina.']",8400,219,1900,615
6,Sonic Adventure,,"Dec 23, 1998","['Sonic Team', 'Sega']",3.6,1000,425,['Dreamcast'],"['Adventure', 'Platform']","Sonic Adventure is a 3D platformer video game in the Sonic the Hedgehog series. The player can control six characters from the Sonic universe, each with their own gameplay and point of view of the story. The game is divided up into two types of levels: Action Stages and Adventure Fields. The division of Action Stages and Adventure Fields are a serious departure from all previous Sonic games. Adventure Fields are non-linear game stages that contain very few items, generally designed for puzzle solving, exploration and plot advancement. Action Stages are more speed based and have Rings scattered in them. Sonic Adventure was the top-selling Dreamcast game and received a sequel in 2001, marking the 10th anniversary of the Sonic the Hedgehog series.","[""My childhood friend, my savior my king, I'll put you on a pedestal any day, you are my one and only best sonic game"", 'Good Soundtrack. Good sonic gameplay. Screw Big the Cat. Pretty good game.', ""This game is really strange, Sonic's movement is alright, but the levels and camera feel like they were made for a completely different game. A shit game. I guess it makes sense actually.\n                     \n                     Sonic was never good"", ""Just started it and so far it's peak"", ""Clunkier than its sequel in many ways, but far more respectable in others. The better radar makes treasure hunting levels 10x smoother, and Gamma's movement and sound design make his segments far funner than SA2's counterparts, if we're naming the most notable examples."", ""Just a vibey game, I don't think it does anything but the Sonic levels perfectly. But the other parts are fun and cool.""]",6600,100,966,388
7,Dead Space,,"Oct 14, 2008","['EA Redwood Shores', 'Electronic Arts']",4.0,1300,496,"['Windows PC', 'Xbox 360', 'PlayStation 3']",['Shooter'],"Dead Space is a 2008 science fiction survival horror video game developed by EA Redwood Shores (now Visceral Games) for Microsoft Windows, PlayStation 3 and Xbox 360. The game was released on all platforms through October 2008. The game puts the player in control of an engineer named Isaac Clarke, who battles the Necromorphs, reanimated human corpses, aboard an interstellar mining ship, the USG Ishimura.","[""It's a pretty solid space horror. The best part of the game is definitely the dismemberment mechanic. I haven't really seen any shooter where the most effective strategy is not to shoot enemies in the head. For the most part enemies work really well with this system. The best example is an enemy that will explode into a ton of smaller enemies if you hit it in the stomach, forcing you to aim your shots correctly or take a ton of damage. The weapons were all pretty good from what I used but by the end of the game all I was using was the plasma cutter just because of how good it is fully upgraded. I do wish the encounter design was a little better though because there was a lot of rooms where you're forced to fight a ton of enemies at once, which felt less difficult and more annoying."", 'It’s\n                     \n                      Resident Evil 4’s\n                     \n                     little brother, but there are worse families to come from.', 'Resident Evil 4 в космосе, но у тебя меньше возможностей обходить атаки врагов.', 'An evening revisiting it. It still annoys me in places but it is still cool and looks great. I’m bad at it, and it gets repetitive (and the zero G stuff sucks)… Great atmosphere though and very memorable.', 'A beautiful, hellish nightmare that refuses to let up until the very end.', 'Bit dated but still one the best']",10000,300,2900,1100
8,Ratchet & Clank: Rift Apart,,"Jun 11, 2021","['Sony Interactive Entertainment', 'Insomniac Games']",4.0,971,425,['PlayStation 5'],"['Adventure', 'Platform', 'Shooter']","Go dimension-hopping with Ratchet and Clank as they take on an evil emperor from another reality. Jump between action-packed worlds and beyond at mind-blowing speeds, complete with dazzling visuals and an insane arsenal.","['Solid fun adventure game', 'bemmmm divertidinho com gráficos lindos e gameplay muito delicia com os gatilhos do controle do ps5 e tal.. história fofinha me senti jogando um filme da disney', 'Estoy como muy seguro de que este juego va a crear toda una generación de furros entre los más jovenes.', 'This is easily the best Ratchet and Clank game. The platforming and maneuverability is massively improved from the previous games. Its got a feeling of moving around similar to Mario Odyssey. Absolutely fantastic game.', 'Rift Apart is the teacup ride of the Ratchet & Clank amusement park. Safe, market-tested, over before you know it, and promptly forgotten.', 'Not much different from the first game but that’s not necessarily a bad thing. This game is good for all the same reasons.']",3900,232,1600,1900
9,Risk of Rain 2,,"Mar 28, 2019","['Hopoo Games', 'Gearbox Publishing']",4.0,670,517,"['Windows PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch', 'Google Stadia']","['Adventure', 'Indie', 'Shooter']","The classic multiplayer roguelike, Risk of Rain, returns with an extra dimension and more challenging action. No run will ever be the same with randomized stages, enemies, bosses, and items. Play solo, or team up with up to four friends to fight your way through hordes of monsters, unlock new loot, and find a way to escape the planet.","['i kinda wanted to like this game but it just, isnt fun for me. theres an entertaining idea here but it doesnt work for me. paly it if u want im not a big fan. WHIRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR (a big fan)', 'I really wish I liked it as much as everyone else', 'i love this game so fucking much oh my god its so fun', ""You will get tired of the repetitive maps and enemies before you even unlock the other characters, but otherwise it's rather amusing"", 'gets stale after a while but its always fun to play with friends', 'A super fun game that gets even more fun with mods. It can, unfortunately, get stale rather fast. There are a number of ways to spice up your run, however, combating that staleness a bit.\n                     \n                     The Tracer mod is super fun, so definitely look into the mods.']",7400,482,1100,702
